1	738343	không	adjective, adverb, conjunction, interjection, noun, numeral, particle
2	688451	là	conjunction, noun, particle, verb
3	675054	tôi	pronoun, verb
4	542427	có	adjective, adverb, interjection, noun, verb
5	542372	của	noun, preposition
6	533804	và	conjunction, determiner, verb
7	470525	anh	noun, pronoun
8	415223	được	interjection, particle, verb
9	381420	đã	particle, verb
10	344820	cho	particle, preposition, verb
11	313264	sẽ	particle
12	313150	đó	noun, particle, pronoun
13	303244	các	determiner, verb
14	300214	người	classifier, noun, pronoun
15	298524	trong	adjective, preposition
16	290398	với	noun, particle, preposition, verb
17	281520	này	adverb, determiner, particle
18	278720	đi	adverb, particle, verb
19	265570	phải	adjective, particle, verb
20	249351	gì	interjection, pronoun
21	242685	những	determiner, particle
22	239656	ở	preposition, verb
23	227892	để	conjunction, verb
24	225925	cô	noun, pronoun
25	215436	làm	preposition, verb
26	209187	rồi	adjective, adverb, interjection, particle, verb
27	208634	ta	adjective, particle, pronoun
28	194471	đây	particle, pronoun
29	186087	em	adjective, noun, pronoun
30	183545	biết	verb
31	182559	ông	classifier, noun, pronoun
32	182443	đến	preposition, verb
33	180263	khi	adverb, pronoun, verb
34	179698	ra	noun, verb
35	178242	lại	adverb, verb
36	172573	về	noun, preposition, verb
37	172177	nó	pronoun
38	160798	cũng	adverb
39	157383	con	classifier, noun, pronoun
40	155505	nhưng	conjunction
41	154899	nói	verb
42	151404	có thể	adverb
43	151238	vào	particle, preposition, verb
44	147472	mà	conjunction, particle
45	147296	đang	particle
46	145247	như	particle
47	142626	cậu	noun, pronoun
48	134281	còn	adverb, verb
49	134105	thì	noun, particle
50	132589	cái	adjective, classifier, noun
51	130752	chúng ta	pronoun
52	129055	ấy	determiner, particle, pronoun
53	128697	chỉ	adverb, noun, pronoun, verb
54	126577	bạn	noun, pronoun
55	122987	nhiều	determiner
56	120803	muốn	verb
57	120373	từ	conjunction, noun, verb
58	116267	sao	adjective, adverb, noun, verb
59	112919	rất	adverb
60	112503	nào	adverb, determiner, particle
61	111326	trên	adjective, preposition
62	110687	mình	adverb, noun, pronoun
63	110644	họ	adjective, noun
64	107097	năm	noun, numeral
65	102438	hơn	adjective, adverb
66	101990	bị	noun, verb
67	99393	vậy	adverb, particle
68	98817	thấy	verb
69	95980	nếu	conjunction
70	91724	thế	adverb, noun, verb
71	88807	việc	noun
72	88679	cần	noun, verb
73	88304	đâu	adverb, particle
74	87007	nhà	adjective, noun
75	82221	tới	adjective, preposition, verb
76	81967	lên	adverb, verb
77	81844	sau	adjective, adverb, preposition
78	81224	thôi	interjection, noun, particle, verb
79	80686	cả	adjective, determiner, noun
80	80316	ai	pronoun
81	79823	theo	preposition, verb
82	77715	nên	conjunction, verb
83	77476	chuyện	interjection, noun
84	76101	sự	prefix
85	75161	chưa	particle
86	74352	nghĩ	verb
87	74222	vì	classifier, conjunction, preposition
88	73793	nữa	adverb, interjection
89	73757	đấy	particle, pronoun
90	71927	hắn	pronoun
91	71853	điều	noun
92	71595	ngày	noun
93	71458	mới	adjective, adverb
94	70484	trước	adverb, preposition
95	69766	tại	conjunction, verb
96	68798	thứ	adjective, classifier, noun, prefix, verb
97	66432	khác	adjective
98	65409	mọi	determiner, noun
99	65206	hay	adjective, adverb, conjunction
100	64372	nhất	adverb, interjection, numeral
101	64157	chứ	particle
102	62627	vẫn	adverb
103	61734	thật	adjective, adverb
104	60350	tốt	adjective, noun
105	59705	à	interjection, particle
106	56243	nghe	particle, verb
107	55185	qua	adjective, adverb, preposition, verb
108	54348	đúng	adjective
109	53930	mẹ	interjection, noun, pronoun
110	53146	tìm	verb
111	52839	hãy	adverb
112	52140	chúng	particle, pronoun
113	51958	rằng	conjunction, verb
114	51806	cùng	adjective, conjunction, noun
115	51571	lần	noun, preposition, verb
116	50563	quá	adverb, verb
117	50316	bà	noun, pronoun
118	49298	nước	noun
119	49147	cách	noun, particle, verb
120	48551	không thể	adjective, adverb
121	48463	đừng	verb
122	47090	tên	classifier, noun
123	46642	giờ	noun
124	46462	đưa	verb
125	45807	ngay	adjective, preposition
126	45736	mày	noun, pronoun
127	44341	giúp	verb
128	44314	tớ	pronoun
129	43900	nhìn	verb
130	43138	nhau	adverb, noun
131	43075	chết	adjective, adverb, interjection, verb
132	42768	lúc	noun
133	42395	xem	verb
134	42209	gặp	verb
135	41953	bằng	adjective, noun, preposition, verb
136	41823	tất cả	noun
137	40626	tin	noun, verb
138	40426	bên	adjective, noun, preposition
139	39296	lấy	verb
140	38732	đều	adjective, adverb
141	38538	cháu	noun, pronoun
142	38350	gọi	verb
143	37441	chính	adjective, adverb
144	37317	tao	pronoun
145	36996	cao	adjective, noun
146	36935	nơi	noun, pronoun
147	36610	do	preposition
148	36587	thời gian	noun
149	36579	từng	adverb, noun, pronoun
150	35493	đường	noun
151	35487	lớn	adjective, verb
152	35189	tháng	noun
153	35166	tiền	noun, prefix
154	34641	lắm	adverb, determiner
155	34627	sống	adjective, noun, verb
156	34591	dùng	noun, verb
157	34562	hoặc	conjunction
158	34318	xe	noun, verb
159	34314	ăn	verb
160	33878	bố	noun, pronoun
161	33849	hết	adverb, interjection, verb
162	33787	đầu	adjective, noun
163	33477	ngoài	adjective, adverb, preposition
164	33454	chị	noun, pronoun
165	33431	hiểu	verb
166	33410	số	adjective, noun
167	32803	bọn	noun
168	32374	Việt Nam	proper noun
169	32356	mất	particle, verb
170	32267	luôn	adverb
171	32168	hàng	adjective, noun, verb
172	32159	thêm	adjective, conjunction, verb
173	32133	thích	noun, verb
174	31819	bộ	adverb, noun, particle
175	31803	bé	adjective, noun, pronoun
176	31739	giết	verb
177	30752	khỏi	adverb, verb
178	30621	xin	verb
179	30441	sử dụng	verb
180	30198	mang	noun, verb
181	30049	tay	noun
182	29797	nhận	verb
183	29658	phòng	noun, verb
184	28943	học	suffix, verb
185	28929	xin lỗi	interjection, verb
186	28879	vừa	adjective, adverb, conjunction, verb
187	28826	gần	adjective, adverb
188	28748	trường	adjective, noun
189	28446	xuống	adverb, verb
190	28445	chiếc	classifier
191	28389	cứ	adverb, noun, particle
192	28384	ngài	noun, pronoun
193	28336	nay	adjective, adverb, noun
